epoch,coxLoss,stratLoss,trainCI,valCI,variance
0,0.5459,0.0000,0.4474,0.4756,1.0334372520446777
1,0.5349,0.0000,0.4496,0.4763,1.031083345413208
2,0.5306,0.0000,0.4540,0.4772,1.0316413640975952
3,0.5287,0.0000,0.4502,0.4780,1.0273414850234985
4,0.5187,0.0000,0.4509,0.4788,1.0238499641418457
5,0.5370,0.0000,0.4481,0.4801,1.0192424058914185
6,0.5373,0.0000,0.4479,0.4811,1.025356411933899
7,0.5343,0.0000,0.4491,0.4821,1.0237948894500732
8,0.5253,0.0000,0.4527,0.4831,1.0159913301467896
9,0.5420,0.0000,0.4426,0.4840,1.0223853588104248
10,0.5158,0.0000,0.4554,0.4853,1.0133113861083984
11,0.5175,0.0000,0.4544,0.4864,1.0139340162277222
12,0.5028,0.0000,0.4590,0.4874,1.0123045444488525
13,0.5116,0.0000,0.4548,0.4883,1.0221325159072876
14,0.5084,0.0000,0.4555,0.4895,1.0165022611618042
15,0.4958,0.0000,0.4572,0.4903,1.0067744255065918
16,0.4909,0.0000,0.4623,0.4907,1.010715126991272
17,0.4921,0.0000,0.4619,0.4914,1.0077563524246216
18,0.4959,0.0000,0.4587,0.4920,1.001078486442566
19,0.4949,0.0000,0.4620,0.4928,1.000777244567871
20,0.4669,0.0000,0.4689,0.4936,1.0011827945709229
21,0.4993,0.0000,0.4560,0.4944,0.9986699223518372
22,0.4796,0.0000,0.4637,0.4950,0.9951069951057434
23,0.4739,0.0000,0.4654,0.4954,0.9981658458709717
24,0.4760,0.0000,0.4665,0.4959,0.9968268275260925
25,0.4759,0.0000,0.4650,0.4964,0.9845478534698486
26,0.4658,0.0000,0.4751,0.4970,0.9950146079063416
27,0.4550,0.0000,0.4749,0.4974,0.9816807508468628
28,0.4657,0.0000,0.4663,0.4978,0.995262622833252
29,0.4692,0.0000,0.4764,0.4981,0.9788596034049988
30,0.4623,0.0000,0.4740,0.4986,0.9847850799560547
31,0.4648,0.0000,0.4741,0.4987,0.9776342511177063
32,0.4613,0.0000,0.4723,0.4992,0.9701330065727234
33,0.4438,0.0000,0.4788,0.4996,0.9735356569290161
34,0.4346,0.0000,0.4810,0.5000,0.9714261889457703
35,0.4420,0.0000,0.4778,0.5005,0.9687090516090393
36,0.4433,0.0000,0.4779,0.5008,0.9653043150901794
37,0.4425,0.0000,0.4739,0.5013,0.9687674641609192
38,0.4511,0.0000,0.4759,0.5018,0.958285391330719
39,0.4246,0.0000,0.4858,0.5022,0.969873309135437
40,0.4374,0.0000,0.4805,0.5026,0.9632721543312073
41,0.4313,0.0000,0.4810,0.5030,0.9640204310417175
42,0.4271,0.0000,0.4853,0.5033,0.956055760383606
43,0.4360,0.0000,0.4805,0.5036,0.957389235496521
44,0.4322,0.0000,0.4782,0.5040,0.9507697224617004
45,0.4294,0.0000,0.4854,0.5045,0.9477677345275879
46,0.4042,0.0000,0.4930,0.5051,0.9610055685043335
47,0.4206,0.0000,0.4859,0.5057,0.9451212882995605
48,0.4155,0.0000,0.4861,0.5060,0.9412420988082886
49,0.4104,0.0000,0.4929,0.5064,0.9438126087188721
50,0.4158,0.0000,0.4831,0.5068,0.9490367770195007
51,0.4045,0.0000,0.4946,0.5072,0.9399414658546448
52,0.4062,0.0000,0.4899,0.5077,0.9362531304359436
53,0.3962,0.0000,0.4934,0.5083,0.9436524510383606
54,0.4061,0.0000,0.4901,0.5086,0.943469226360321
55,0.3974,0.0000,0.4924,0.5089,0.9407426118850708
56,0.3976,0.0000,0.4935,0.5094,0.9318171739578247
57,0.3898,0.0000,0.4959,0.5098,0.9355055689811707
58,0.3782,0.0000,0.4986,0.5101,0.9269896149635315
59,0.3751,0.0000,0.4994,0.5105,0.9282565116882324
